href,时长,名称,BV号,播放量,弹幕数,up主
https://www.bilibili.com/video/BV1jT4y1N7Wg,05:18,克莱因瓶：一个永远也装不满的瓶子，只存在于四维空间,BV1jT4y1N7Wg,167.8万,978,宇宙天文馆
https://www.bilibili.com/video/BV1gz4y1279o,15:46,建造一个真实比例太阳系,BV1gz4y1279o,167.4万,1.1万,Sandyflare
https://www.bilibili.com/video/BV1Ly4y1Y7Fo,01:47,高潮好处不止一瞬间！简直就是增益BUFF！,BV1Ly4y1Y7Fo,166.8万,3050,乐有为医生
https://www.bilibili.com/video/BV1pN411d7ir,04:49,那些被自己“杀”死的动物，既心酸又好笑,BV1pN411d7ir,166.0万,1124,Hi熊宝包
https://www.bilibili.com/video/BV1Gf4y1C7i7,05:26,广西博物志 第三集,BV1Gf4y1C7i7,165.5万,6600,无穷小亮的科普日常
https://www.bilibili.com/video/BV18K4y1H74u,01:58,身体发生这些变化 ，小心是脂溢性脱发！,BV18K4y1H74u,164.8万,811,毛发医生李丙双
https://www.bilibili.com/video/BV1YV411v7hU,02:35,【科普】信鸽是怎么知道自己的信要送往哪里的？,BV1YV411v7hU,163.9万,1682,画渣花小烙
https://www.bilibili.com/video/BV1k54y1W7DF,00:49,手银怎么戒掉！,BV1k54y1W7DF,163.0万,4156,良医师
https://www.bilibili.com/video/BV1nf4y1y7fw,07:21,拉屎时如何优雅的压住水花？理论加实操硬核教程来喽,BV1nf4y1y7fw,162.0万,6716,全球档案馆
https://www.bilibili.com/video/BV19A411M7Sn,20:35,【基德】除去子宫，人类分男女的真正意义是什么？【进阶生物 第二集】,BV19A411M7Sn,162.0万,1.1万,吟游诗人基德
https://www.bilibili.com/video/BV1Yz4y167Dw,03:13,【水水劳斯】揭秘网络热门视频里的科学原理｜第六集,BV1Yz4y167Dw,161.9万,1177,爆炸实验室BoomLab
https://www.bilibili.com/video/BV1mb4y197nf,01:46,今年贾玲说的话千万不能相信！,BV1mb4y197nf,160.3万,2082,王继勇医生
https://www.bilibili.com/video/BV1Eh411y7od,04:18,【男科科普】20岁小伙儿手艺活成瘾，男科专家张广清在线‘拿捏’,BV1Eh411y7od,160.1万,1359,中医男科张广清
https://www.bilibili.com/video/BV1RX4y157Ff,01:39,揭秘电钻钻头的骗局，曾经骗过上千万人，困惑终于知晓！,BV1RX4y157Ff,158.2万,780,魔力飞哥
https://www.bilibili.com/video/BV13o4y1o72x,01:12,为爱鼓掌消耗多少体力？带来的好处又有哪些呢？,BV13o4y1o72x,155.2万,709,乐有为医生
https://www.bilibili.com/video/BV1Qv411e7c2,15:26,【自律】单人不可描述行为：对大脑的损伤【远离放纵1】脑科学垂直科普,BV1Qv411e7c2,154.0万,6933,底层原理
https://www.bilibili.com/video/BV1Fv411v7Re,04:32,【水水劳斯】揭秘网络热门视频里的科学原理｜第十一集,BV1Fv411v7Re,153.8万,809,爆炸实验室BoomLab
